time,mac,type,RSSI,uuid
2023-03-20T16:11:43.131913,68:aa:bc:aa:61:dc,random,-100,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:43.236683,7d:82:45:73:8a:b7,random,-80,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:44.205759,68:aa:bc:aa:61:dc,random,-88,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:44.577825,68:aa:bc:aa:61:dc,random,-77,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:44.968166,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:45.336456,68:aa:bc:aa:61:dc,random,-76,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:45.723885,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:46.128947,68:d3:cb:3d:aa:66,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:46.492395,68:aa:bc:aa:61:dc,random,-74,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:46.581726,63:27:3c:16:c7:85,random,-90,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:46.630311,68:d3:cb:3d:aa:66,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:46.975445,68:aa:bc:aa:61:dc,random,-75,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:47.025401,68:d3:cb:3d:aa:66,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:47.697409,63:27:3c:16:c7:85,random,-81,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:47.765946,68:d3:cb:3d:aa:66,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:48.115421,63:27:3c:16:c7:85,random,-83,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:50.375486,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:50.758006,68:d3:cb:3d:aa:66,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:57.127197,68:aa:bc:aa:61:dc,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:02.921705,7d:82:45:73:8a:b7,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:03.294166,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:03.670978,68:aa:bc:aa:61:dc,random,-77,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:04.690285,7d:82:45:73:8a:b7,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
