time,mac,type,RSSI,uuid
2023-03-20T16:10:21.129419,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:22.384518,68:aa:bc:aa:61:dc,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:27.747385,68:d3:cb:3d:aa:66,random,-101,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:40.579565,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:42.108007,68:d3:cb:3d:aa:66,random,-104,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:44.276280,68:aa:bc:aa:61:dc,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:50.212918,68:aa:bc:aa:61:dc,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:52.771963,68:aa:bc:aa:61:dc,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:59.094754,7d:82:45:73:8a:b7,random,-99,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:59.272182,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:01.076405,68:aa:bc:aa:61:dc,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:01.949120,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:02.589973,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:03.006396,68:d3:cb:3d:aa:66,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:03.160264,7d:82:45:73:8a:b7,random,-80,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:03.180221,68:d3:cb:3d:aa:66,random,-94,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.057793,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.240459,68:aa:bc:aa:61:dc,random,-76,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.261434,68:d3:cb:3d:aa:66,random,-91,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.361638,68:aa:bc:aa:61:dc,random,-78,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.516739,68:d3:cb:3d:aa:66,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.540989,68:aa:bc:aa:61:dc,random,-72,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.630443,68:aa:bc:aa:61:dc,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.913014,68:d3:cb:3d:aa:66,random,-78,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:05.289070,68:aa:bc:aa:61:dc,random,-75,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:05.462762,68:d3:cb:3d:aa:66,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:05.616814,68:d3:cb:3d:aa:66,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:05.702858,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:05.861806,68:aa:bc:aa:61:dc,random,-80,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:06.149069,68:d3:cb:3d:aa:66,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:06.245549,68:aa:bc:aa:61:dc,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:06.406722,68:aa:bc:aa:61:dc,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:07.863089,68:aa:bc:aa:61:dc,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:08.025607,68:aa:bc:aa:61:dc,random,-76,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:08.440659,68:aa:bc:aa:61:dc,random,-88,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:08.855458,68:d3:cb:3d:aa:66,random,-91,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:08.975721,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:10.180883,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:10.330825,68:aa:bc:aa:61:dc,random,-79,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:10.744783,68:aa:bc:aa:61:dc,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:10.874708,68:aa:bc:aa:61:dc,random,-76,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:11.352160,7d:82:45:73:8a:b7,random,-83,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:11.964614,68:aa:bc:aa:61:dc,random,-78,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:12.183610,7d:82:45:73:8a:b7,random,-96,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:12.860934,7d:82:45:73:8a:b7,random,-82,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:13.147324,63:27:3c:16:c7:85,random,-83,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:13.682878,68:d3:cb:3d:aa:66,random,-79,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:13.967405,68:d3:cb:3d:aa:66,random,-94,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.053834,7d:82:45:73:8a:b7,random,-97,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.344821,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.433136,68:aa:bc:aa:61:dc,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.713744,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.812470,68:d3:cb:3d:aa:66,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.976104,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.069756,68:d3:cb:3d:aa:66,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.227516,68:d3:cb:3d:aa:66,random,-91,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.387642,68:aa:bc:aa:61:dc,random,-92,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.537578,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.661317,68:aa:bc:aa:61:dc,random,-80,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.902311,68:d3:cb:3d:aa:66,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:16.057398,68:aa:bc:aa:61:dc,random,-98,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:16.473896,68:d3:cb:3d:aa:66,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:16.751596,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:16.905002,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:16.931472,68:d3:cb:3d:aa:66,random,-76,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:17.343983,68:d3:cb:3d:aa:66,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:17.497677,7d:82:45:73:8a:b7,random,-91,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:17.647807,68:d3:cb:3d:aa:66,random,-91,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:17.930060,68:d3:cb:3d:aa:66,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:18.344013,68:d3:cb:3d:aa:66,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:19.131585,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:19.477773,68:aa:bc:aa:61:dc,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:19.765350,68:d3:cb:3d:aa:66,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:20.371612,68:d3:cb:3d:aa:66,random,-74,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:20.985172,68:aa:bc:aa:61:dc,random,-79,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:21.588005,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:21.936593,68:d3:cb:3d:aa:66,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:22.353959,68:aa:bc:aa:61:dc,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
