time,mac,type,RSSI,uuid
2023-03-20T16:12:12.624029,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:13.321224,68:aa:bc:aa:61:dc,random,-77,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:13.703954,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:14.397561,68:aa:bc:aa:61:dc,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:14.784002,68:d3:cb:3d:aa:66,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:14.830886,68:aa:bc:aa:61:dc,random,-92,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:15.520112,68:aa:bc:aa:61:dc,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:16.206379,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:16.575478,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:16.931479,68:d3:cb:3d:aa:66,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.291312,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.662768,68:d3:cb:3d:aa:66,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.724826,68:aa:bc:aa:61:dc,random,-80,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:18.441431,68:aa:bc:aa:61:dc,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:19.814084,68:d3:cb:3d:aa:66,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:19.852241,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:20.518443,68:aa:bc:aa:61:dc,random,-76,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:20.859015,68:aa:bc:aa:61:dc,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:21.220217,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
