time,mac,type,RSSI,uuid
2023-03-20T16:10:11.828394,63:27:3c:16:c7:85,random,-84,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:13.763634,68:aa:bc:aa:61:dc,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:13.897106,68:aa:bc:aa:61:dc,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:14.966260,68:aa:bc:aa:61:dc,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:16.923744,68:d3:cb:3d:aa:66,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:18.269772,68:aa:bc:aa:61:dc,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:18.692422,68:d3:cb:3d:aa:66,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:21.122395,68:aa:bc:aa:61:dc,random,-101,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:22.779939,68:d3:cb:3d:aa:66,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:23.352509,63:27:3c:16:c7:85,random,-89,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:23.576257,68:d3:cb:3d:aa:66,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:24.557110,68:d3:cb:3d:aa:66,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:27.412309,68:d3:cb:3d:aa:66,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:28.256329,68:d3:cb:3d:aa:66,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:28.395800,68:d3:cb:3d:aa:66,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:29.619952,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:29.760187,68:d3:cb:3d:aa:66,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:32.327821,68:d3:cb:3d:aa:66,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:32.615275,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:32.755123,68:d3:cb:3d:aa:66,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:33.406526,68:d3:cb:3d:aa:66,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:34.764844,68:d3:cb:3d:aa:66,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:35.482687,68:aa:bc:aa:61:dc,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:41.501278,63:27:3c:16:c7:85,random,-85,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:42.079004,63:27:3c:16:c7:85,random,-100,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:42.355271,63:27:3c:16:c7:85,random,-98,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:42.632938,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:43.051354,68:aa:bc:aa:61:dc,random,-92,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:43.816804,63:27:3c:16:c7:85,random,-86,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:43.956497,68:d3:cb:3d:aa:66,random,-100,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:44.109160,63:27:3c:16:c7:85,random,-101,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:44.984266,68:d3:cb:3d:aa:66,random,-99,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:46.559117,63:27:3c:16:c7:85,random,-87,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:48.422560,68:d3:cb:3d:aa:66,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:48.704631,63:27:3c:16:c7:85,random,-100,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:50.217431,63:27:3c:16:c7:85,random,-82,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:50.496683,63:27:3c:16:c7:85,random,-82,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:50.616636,63:27:3c:16:c7:85,random,-93,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:51.182852,63:27:3c:16:c7:85,random,-93,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:51.965365,63:27:3c:16:c7:85,random,-101,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:53.264137,68:d3:cb:3d:aa:66,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:00.915363,68:d3:cb:3d:aa:66,random,-99,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:02.709180,68:d3:cb:3d:aa:66,random,-89,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:03.134409,68:d3:cb:3d:aa:66,random,-100,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:58.735795,68:d3:cb:3d:aa:66,random,-99,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:59.840122,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:59.987946,68:aa:bc:aa:61:dc,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:01.620054,68:aa:bc:aa:61:dc,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:01.825146,43:9c:4b:31:a1:10,random,-96,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:02.090463,43:9c:4b:31:a1:10,random,-81,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:02.311320,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:03.237816,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:04.019148,43:9c:4b:31:a1:10,random,-99,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:04.656602,43:9c:4b:31:a1:10,random,-82,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:04.801941,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:05.227989,43:9c:4b:31:a1:10,random,-94,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:05.349287,68:d3:cb:3d:aa:66,random,-98,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:05.628113,68:d3:cb:3d:aa:66,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:06.273869,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:06.693103,43:9c:4b:31:a1:10,random,-87,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:07.387734,43:9c:4b:31:a1:10,random,-73,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:07.951451,43:9c:4b:31:a1:10,random,-83,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:08.089110,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:08.179225,43:9c:4b:31:a1:10,random,-71,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:08.725390,43:9c:4b:31:a1:10,random,-76,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:08.896295,7d:82:45:73:8a:b7,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:08.947520,43:9c:4b:31:a1:10,random,-74,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:09.278097,43:9c:4b:31:a1:10,random,-73,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:09.418055,43:9c:4b:31:a1:10,random,-87,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:09.645709,68:d3:cb:3d:aa:66,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:09.856096,43:9c:4b:31:a1:10,random,-91,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:10.498291,43:9c:4b:31:a1:10,random,-75,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:10.646933,43:9c:4b:31:a1:10,random,-75,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:10.794178,43:9c:4b:31:a1:10,random,-74,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:10.935856,43:9c:4b:31:a1:10,random,-76,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:11.063262,43:9c:4b:31:a1:10,random,-76,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:11.204574,43:9c:4b:31:a1:10,random,-78,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:11.485870,43:9c:4b:31:a1:10,random,-90,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:11.610686,43:9c:4b:31:a1:10,random,-78,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:11.746972,43:9c:4b:31:a1:10,random,-75,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:12.686958,43:9c:4b:31:a1:10,random,-68,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:12.950731,43:9c:4b:31:a1:10,random,-82,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:13.044806,68:d3:cb:3d:aa:66,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:13.231916,43:9c:4b:31:a1:10,random,-75,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:13.367131,43:9c:4b:31:a1:10,random,-84,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:13.496828,43:9c:4b:31:a1:10,random,-93,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:13.777588,43:9c:4b:31:a1:10,random,-74,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:14.046714,43:9c:4b:31:a1:10,random,-72,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:14.323112,43:9c:4b:31:a1:10,random,-76,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:14.448024,43:9c:4b:31:a1:10,random,-88,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:14.877147,43:9c:4b:31:a1:10,random,-84,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:15.011981,43:9c:4b:31:a1:10,random,-85,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:15.153713,43:9c:4b:31:a1:10,random,-85,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:15.445850,43:9c:4b:31:a1:10,random,-87,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:15.879871,7d:82:45:73:8a:b7,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:16.084650,43:9c:4b:31:a1:10,random,-68,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:16.225859,43:9c:4b:31:a1:10,random,-80,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:16.646613,43:9c:4b:31:a1:10,random,-70,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:16.789224,43:9c:4b:31:a1:10,random,-70,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:16.925947,43:9c:4b:31:a1:10,random,-70,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:17.432009,43:9c:4b:31:a1:10,random,-74,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:17.565811,43:9c:4b:31:a1:10,random,-85,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:17.696858,43:9c:4b:31:a1:10,random,-91,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:18.109665,43:9c:4b:31:a1:10,random,-79,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:19.503377,43:9c:4b:31:a1:10,random,-88,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:19.647365,43:9c:4b:31:a1:10,random,-73,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:19.785729,43:9c:4b:31:a1:10,random,-77,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:19.925855,43:9c:4b:31:a1:10,random,-75,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:20.840848,43:9c:4b:31:a1:10,random,-91,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:21.119571,43:9c:4b:31:a1:10,random,-73,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:21.251771,43:9c:4b:31:a1:10,random,-81,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:21.387157,43:9c:4b:31:a1:10,random,-77,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:21.514712,43:9c:4b:31:a1:10,random,-87,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:21.797312,43:9c:4b:31:a1:10,random,-78,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:21.935259,43:9c:4b:31:a1:10,random,-75,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:22.216137,43:9c:4b:31:a1:10,random,-90,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:22.937163,68:d3:cb:3d:aa:66,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:23.477420,68:d3:cb:3d:aa:66,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:23.962375,43:9c:4b:31:a1:10,random,-88,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:24.112301,43:9c:4b:31:a1:10,random,-77,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:24.254760,43:9c:4b:31:a1:10,random,-78,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:24.968426,7d:82:45:73:8a:b7,random,-99,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:25.177836,43:9c:4b:31:a1:10,random,-72,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:25.304571,43:9c:4b:31:a1:10,random,-76,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:25.659505,68:d3:cb:3d:aa:66,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:26.223600,68:d3:cb:3d:aa:66,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:26.345905,68:d3:cb:3d:aa:66,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:26.628376,68:d3:cb:3d:aa:66,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:26.753871,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:27.178749,68:d3:cb:3d:aa:66,random,-82,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:27.457079,68:d3:cb:3d:aa:66,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:27.592276,43:9c:4b:31:a1:10,random,-89,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:28.031104,43:9c:4b:31:a1:10,random,-80,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:28.162489,43:9c:4b:31:a1:10,random,-78,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:28.405338,43:9c:4b:31:a1:10,random,-79,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:28.821423,43:9c:4b:31:a1:10,random,-78,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:29.104924,43:9c:4b:31:a1:10,random,-70,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:29.252390,43:9c:4b:31:a1:10,random,-73,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:29.396322,43:9c:4b:31:a1:10,random,-77,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:29.529784,43:9c:4b:31:a1:10,random,-74,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:29.676429,43:9c:4b:31:a1:10,random,-74,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:13:30.181402,43:9c:4b:31:a1:10,random,-85,00007dd1-0000-1000-8000-00805f9b34fb
