time,mac,type,RSSI,uuid
2023-03-20T16:10:15.272285,68:d3:cb:3d:aa:66,random,-100,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:17.564830,68:aa:bc:aa:61:dc,random,-99,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:24.217990,68:aa:bc:aa:61:dc,random,-88,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:42.868293,68:d3:cb:3d:aa:66,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:46.013389,68:aa:bc:aa:61:dc,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:10:56.095857,68:aa:bc:aa:61:dc,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.015915,68:aa:bc:aa:61:dc,random,-102,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.212295,68:d3:cb:3d:aa:66,random,-100,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.433487,68:aa:bc:aa:61:dc,random,-92,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.565923,68:aa:bc:aa:61:dc,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:04.767174,68:d3:cb:3d:aa:66,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:06.335905,68:aa:bc:aa:61:dc,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:06.886017,68:aa:bc:aa:61:dc,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:07.014690,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:07.287215,68:aa:bc:aa:61:dc,random,-98,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:07.723509,68:aa:bc:aa:61:dc,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:07.840941,68:aa:bc:aa:61:dc,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:08.423546,7d:82:45:73:8a:b7,random,-99,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:09.489031,68:aa:bc:aa:61:dc,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:09.983326,68:aa:bc:aa:61:dc,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:10.244984,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:10.546051,68:aa:bc:aa:61:dc,random,-101,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:12.071037,68:aa:bc:aa:61:dc,random,-86,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:12.938988,68:d3:cb:3d:aa:66,random,-100,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:13.152298,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:13.422279,68:aa:bc:aa:61:dc,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:13.543495,68:aa:bc:aa:61:dc,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:13.669648,68:aa:bc:aa:61:dc,random,-99,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.222223,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.535986,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:14.656061,68:aa:bc:aa:61:dc,random,-100,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.590878,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.717311,68:aa:bc:aa:61:dc,random,-98,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:15.892291,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:16.163561,68:aa:bc:aa:61:dc,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:16.843766,68:d3:cb:3d:aa:66,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:18.049700,68:aa:bc:aa:61:dc,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:18.320954,68:d3:cb:3d:aa:66,random,-98,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:18.586076,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:19.069653,63:27:3c:16:c7:85,random,-99,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:19.338609,63:27:3c:16:c7:85,random,-92,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:19.969000,68:aa:bc:aa:61:dc,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:21.072320,68:aa:bc:aa:61:dc,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:21.206122,68:d3:cb:3d:aa:66,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:22.061286,68:d3:cb:3d:aa:66,random,-98,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:22.572337,68:aa:bc:aa:61:dc,random,-83,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:22.832427,7d:82:45:73:8a:b7,random,-104,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:22.952435,68:aa:bc:aa:61:dc,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:23.382320,68:aa:bc:aa:61:dc,random,-101,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:23.427787,7d:82:45:73:8a:b7,random,-102,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:23.902340,68:aa:bc:aa:61:dc,random,-97,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:24.672453,68:d3:cb:3d:aa:66,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:26.486226,68:aa:bc:aa:61:dc,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:27.351927,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:27.972469,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:28.242459,68:aa:bc:aa:61:dc,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:28.433570,7d:82:45:73:8a:b7,random,-98,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:28.695126,7d:82:45:73:8a:b7,random,-100,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:29.108607,7d:82:45:73:8a:b7,random,-86,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:29.238873,63:27:3c:16:c7:85,random,-101,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:29.513904,63:27:3c:16:c7:85,random,-101,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:30.293603,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:30.489171,68:d3:cb:3d:aa:66,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:30.973672,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:31.382371,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:31.427908,7d:82:45:73:8a:b7,random,-99,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:32.187390,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:32.337378,68:aa:bc:aa:61:dc,random,-88,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:32.488590,68:aa:bc:aa:61:dc,random,-94,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:32.888539,68:aa:bc:aa:61:dc,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:33.017382,68:aa:bc:aa:61:dc,random,-105,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:33.419695,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:33.823547,68:aa:bc:aa:61:dc,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:34.379871,68:aa:bc:aa:61:dc,random,-92,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:34.507338,68:aa:bc:aa:61:dc,random,-102,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:34.560990,7d:82:45:73:8a:b7,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:35.114989,68:d3:cb:3d:aa:66,random,-84,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:35.308088,63:27:3c:16:c7:85,random,-100,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:35.442458,63:27:3c:16:c7:85,random,-90,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:35.731064,68:aa:bc:aa:61:dc,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:35.933701,68:d3:cb:3d:aa:66,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:36.202407,68:d3:cb:3d:aa:66,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:37.127323,68:aa:bc:aa:61:dc,random,-103,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:37.182698,7d:82:45:73:8a:b7,random,-90,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:37.301225,68:d3:cb:3d:aa:66,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:39.008635,68:d3:cb:3d:aa:66,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:39.562464,68:d3:cb:3d:aa:66,random,-86,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:40.183650,68:d3:cb:3d:aa:66,random,-81,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:40.299933,63:27:3c:16:c7:85,random,-88,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:40.787666,7d:82:45:73:8a:b7,random,-88,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:41.131068,63:27:3c:16:c7:85,random,-107,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:41.829168,68:d3:cb:3d:aa:66,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:41.946224,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:44.089073,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:11:46.011164,68:d3:cb:3d:aa:66,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:04.033765,68:d3:cb:3d:aa:66,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:05.802645,68:d3:cb:3d:aa:66,random,-104,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:07.443791,7d:82:45:73:8a:b7,random,-98,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:07.856214,68:aa:bc:aa:61:dc,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:09.773814,7d:82:45:73:8a:b7,random,-96,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:10.148913,68:d3:cb:3d:aa:66,random,-87,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:10.437620,7d:82:45:73:8a:b7,random,-94,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:11.431288,68:aa:bc:aa:61:dc,random,-91,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:11.695124,68:aa:bc:aa:61:dc,random,-79,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:11.742347,68:d3:cb:3d:aa:66,random,-98,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:11.932618,7d:82:45:73:8a:b7,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:12.062614,68:d3:cb:3d:aa:66,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:12.329425,7d:82:45:73:8a:b7,random,-89,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:12.519422,68:aa:bc:aa:61:dc,random,-85,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:12.755192,7d:82:45:73:8a:b7,random,-95,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:12.949002,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:13.134005,68:d3:cb:3d:aa:66,random,-77,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:13.409179,68:d3:cb:3d:aa:66,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:13.607671,68:aa:bc:aa:61:dc,random,-100,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:13.730020,68:aa:bc:aa:61:dc,random,-93,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:13.859432,68:aa:bc:aa:61:dc,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:14.195136,63:27:3c:16:c7:85,random,-97,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:14.460178,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:14.667612,68:d3:cb:3d:aa:66,random,-97,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:14.923908,7d:82:45:73:8a:b7,random,-92,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:15.063931,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:15.425135,63:27:3c:16:c7:85,random,-93,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:15.644191,68:aa:bc:aa:61:dc,random,-73,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:15.920190,68:aa:bc:aa:61:dc,random,-75,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:16.112657,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:16.310127,7d:82:45:73:8a:b7,random,-100,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:16.585158,68:aa:bc:aa:61:dc,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:16.991342,68:aa:bc:aa:61:dc,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.126369,68:aa:bc:aa:61:dc,random,-79,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.263984,7d:82:45:73:8a:b7,random,-94,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.532667,68:aa:bc:aa:61:dc,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.666252,68:aa:bc:aa:61:dc,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.798778,68:aa:bc:aa:61:dc,random,-73,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:17.917642,68:d3:cb:3d:aa:66,random,-93,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:18.109242,7d:82:45:73:8a:b7,random,-83,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:18.173480,68:d3:cb:3d:aa:66,random,-72,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:18.507623,68:aa:bc:aa:61:dc,random,-96,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:18.631235,68:aa:bc:aa:61:dc,random,-78,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:18.831349,63:27:3c:16:c7:85,random,-94,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:19.243943,68:d3:cb:3d:aa:66,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:19.437529,68:aa:bc:aa:61:dc,random,-97,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:19.995131,68:aa:bc:aa:61:dc,random,-97,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:20.047497,68:d3:cb:3d:aa:66,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:20.450124,63:27:3c:16:c7:85,random,-95,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:20.568768,7d:82:45:73:8a:b7,random,-101,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:20.691474,68:aa:bc:aa:61:dc,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:20.819455,68:aa:bc:aa:61:dc,random,-74,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:20.950645,68:aa:bc:aa:61:dc,random,-100,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:21.007662,7d:82:45:73:8a:b7,random,-90,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:21.641304,68:aa:bc:aa:61:dc,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:21.693477,68:d3:cb:3d:aa:66,random,-92,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:21.818813,68:d3:cb:3d:aa:66,random,-88,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:22.082641,63:27:3c:16:c7:85,random,-93,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:23.303240,68:aa:bc:aa:61:dc,random,-95,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:23.420163,68:d3:cb:3d:aa:66,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:23.830113,68:aa:bc:aa:61:dc,random,-82,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:24.092721,7d:82:45:73:8a:b7,random,-91,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:24.159235,68:aa:bc:aa:61:dc,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:24.201175,68:d3:cb:3d:aa:66,random,-95,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:24.327759,68:d3:cb:3d:aa:66,random,-83,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:25.560489,68:d3:cb:3d:aa:66,random,-80,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:25.829656,68:d3:cb:3d:aa:66,random,-96,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:26.415246,7d:82:45:73:8a:b7,random,-81,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:26.463127,63:27:3c:16:c7:85,random,-99,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:26.648973,68:d3:cb:3d:aa:66,random,-90,0000f22e-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:26.835336,63:27:3c:16:c7:85,random,-103,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:26.961432,68:aa:bc:aa:61:dc,random,-81,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:27.017806,7d:82:45:73:8a:b7,random,-97,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:27.223008,68:aa:bc:aa:61:dc,random,-88,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:27.350118,68:aa:bc:aa:61:dc,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:27.908208,68:aa:bc:aa:61:dc,random,-89,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:28.026329,68:aa:bc:aa:61:dc,random,-84,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:28.079704,7d:82:45:73:8a:b7,random,-96,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:28.198959,68:aa:bc:aa:61:dc,random,-87,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:28.244046,63:27:3c:16:c7:85,random,-100,00007dd1-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:28.448989,7d:82:45:73:8a:b7,random,-93,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:28.576742,7d:82:45:73:8a:b7,random,-91,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:28.627355,68:aa:bc:aa:61:dc,random,-90,0000dd9b-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:28.961487,7d:82:45:73:8a:b7,random,-83,0000ccb5-0000-1000-8000-00805f9b34fb
2023-03-20T16:12:29.083100,68:d3:cb:3d:aa:66,random,-85,0000f22e-0000-1000-8000-00805f9b34fb
